	SRR6298350	SRR6298351	SRR6298384	SRR6298349	SRR6298348	SRR6298347	SRR6298379	SRR6298380	SRR6298381	SRR6298382	SRR6298352	SRR6298383
Monocytes C	23.1	22.6	20.8	21.5	28.6	13.3	24.6	16.0	26.5	15.6	21.2	23.3
NK_cells	13.1	9.23	10.8	23.5	3.94	3.8	6.1400000000000015	5.62	16.5	8.47	14.499999999999998	2.47
T CD8 Memory	52.0	35.3	15.5	28.2	30.0	66.6	37.7	38.1	36.9	21.8	18.9	36.4
T CD4 Naive	15.6	8.15	19.0	7.22	12.2	18.9	7.380000000000001	12.4	12.8	12.0	3.73	6.5
T CD8 Naive	-7.490000000000001	10.1	-0.7509999999999999	-3.22	-15.1	-15.8	0.472	5.96	2.35	7.48	1.0699999999999998	-8.43
B Naive	5.4	10.7	13.8	6.29	7.06	3.4799999999999995	18.2	3.63	4.650000000000001	5.56	10.8	5.2
T CD4 Memory	1.93	5.11	3.47	8.21	2.43	-2.72	-0.916	-4.760000000000002	-8.08	-3.27	11.6	5.56
MAIT	1.65	10.4	8.81	5.16	-2.64	0.16199999999999998	6.34	10.9	7.84	1.22	8.87	0.685
T gd Vd2	8.17	5.23	6.370000000000001	9.81	9.83	13.3	6.75	13.8	9.05	16.0	12.3	11.1
Neutrophils	5.13	2.62	8.67	4.55	3.140000000000001	1.71	2.42	0.7979999999999999	1.92	7.48	3.27	1.79
T gd non-Vd2	-12.0	-8.94	-8.86	-13.900000000000002	-8.93	-14.2	-6.370000000000001	-16.8	-12.7	-13.3	-15.5	-11.7
Basophils	1.21	4.29	3.52	5.12	0.919	2.15	7.46	8.03	2.29	4.52	2.76	4.23
Monocytes NC+I	6.0699999999999985	5.1	2.28	3.87	6.460000000000001	9.94	3.31	5.84	7.88	8.83	2.75	8.58
B Memory	1.18	3.09	-2.14	5.45	-1.3299999999999998	4.769999999999999	0.765	7.449999999999998	4.94	3.93	0.882	-0.527
Dendritic_cells	0.6970000000000001	0.99	1.36	0.9470000000000001	0.344	0.79	0.9309999999999999	0.418	0.611	0.818	1.6399999999999997	0.621
Plasmacytoid_dendritic_cells	0.524	0.4670000000000001	0.325	0.16899999999999998	0.257	0.125	-0.0451	0.581	0.281	0.0588	0.413	0.463
Plasma_B_cells	0.134	0.8159999999999998	0.856	0.16	0.139	-0.0131	0.24100000000000002	0.958	1.35	0.98	0.425	0.13599999999999998
CD8_T_cells	44.51	45.4	14.749	24.98	14.9	50.8	38.17200000000001	44.06000000000001	39.25	29.28	19.97	27.97
CD4_T_cells	17.53	13.260000000000002	22.47	15.43	14.63	16.18	6.4639999999999995	7.6400000000000015	4.7200000000000015	8.73	15.329999999999998	12.059999999999995
Monocytes	29.17	27.7	23.08	25.370000000000005	35.06	23.24	27.91	21.84	34.38	24.43	23.95	31.880000000000006
gd_T_cells	-3.83	-3.71	-2.4899999999999998	-4.09	0.9000000000000002	-0.8999999999999984	0.3799999999999999	-3.0	-3.649999999999999	2.7	-3.1999999999999997	-0.5999999999999996
T_cells	59.85999999999998	65.35000000000001	43.539	41.48000000000001	27.79	66.242	51.356000000000016	59.60000000000001	48.16	41.93	40.97	40.11500000000001
Non_plasma_B_cells	6.58	13.79	11.66	11.74	5.73	8.25	18.965	11.08	9.59	9.49	11.682	4.673
B_cells	6.714	14.606	12.515999999999998	11.9	5.869	8.2369	19.206	12.038	10.94	10.47	12.107000000000001	4.809
Lymphocytes	79.67399999999998	89.186	66.855	76.88000000000002	37.599000000000004	78.27890000000002	76.70200000000001	77.25800000000002	75.6	60.86999999999999	67.577	47.394
Other	-16.40499999999998	-25.25300000000001	-3.8100000000000014	-13.036000000000026	22.680999999999997	-6.293900000000009	-15.377900000000013	-8.925000000000027	-15.081999999999995	1.8232000000000024	0.3900000000000015	13.621999999999984
