	GSM2230759	GSM2230758	GSM2230760	GSM2230757
Monocytes C	0.944	1.44	1.64	0.954
NK_cells	0.56	1.2	0.897	0.7979999999999999
T CD8 Memory	-0.456	-1.4	-0.83	-0.932
T CD4 Naive	7.68	4.76	3.33	4.53
T CD8 Naive	-0.07400000000000001	0.769	0.767	0.557
B Naive	-0.0836	-0.0602	-0.0177	-0.0246
T CD4 Memory	0.209	4.4	5.07	2.98
MAIT	0.706	1.28	0.67	0.723
T gd Vd2	-0.305	-0.746	-0.301	-0.488
Neutrophils	0.906	1.37	1.13	1.01
T gd non-Vd2	0.00239	0.184	-0.203	0.101
Basophils	0.0539	0.13699999999999998	0.111	0.091
Monocytes NC+I	-0.037000000000000005	0.503	-0.0938	0.142
B Memory	0.14400000000000002	0.152	0.0545	0.0827
Dendritic_cells	0.0179	0.0869	0.0916	0.0982
Plasmacytoid_dendritic_cells	0.181	0.196	0.0888	0.0877
Plasma_B_cells	0.0426	0.0628	0.0729	0.0748
Monocytes	0.907	1.943	1.5461999999999998	1.0959999999999999
CD8_T_cells	-0.53	-0.6309999999999999	-0.06299999999999993	-0.375
CD4_T_cells	7.8889999999999985	9.16	8.4	7.51
T_cells	7.762389999999999	9.246999999999998	8.503	7.470999999999999
B_cells	0.10300000000000002	0.1546	0.1097	0.13290000000000002
Non_plasma_B_cells	0.06040000000000002	0.0918	0.0368	0.0581
gd_T_cells	-0.30261	-0.562	-0.504	-0.387
Lymphocytes	8.42539	10.601599999999998	9.5097	8.4019
Other	89.50881	85.66550000000002	87.5227	89.2152
