	SRR1550982	SRR1551019	SRR1551032	SRR1551074	SRR1551100
B cells naive	0.0	0.0	0.00879293502875145	0.00264838677716043	0.0357307320254777
B cells memory	0.10679546358032901	0.0611545864826761	0.0734107502041062	0.18210308110179	0.175265135614832
Plasma_B_cells	0.030426513764692995	0.0177757569138203	0.0335731322269456	0.0217472936509297	0.0511831024622521
CD8_T_cells	0.28133901937476197	0.3822048198317311	0.0385677616615742	0.475775547847548	0.4689490469645129
T cells CD4 naive	0.55130975597234	0.0	0.18844406904863292	0.17586703031734602	0.576264456307705
T cells CD4 memory resting	0.25489710725174597	0.0222796463359418	0.0	0.18016742860436202	0.11397621687896699
T cells CD4 memory activated	0.0	0.0481220074897478	0.0618403776615798	0.0	0.0
T cells follicular helper	0.0	0.0	0.0	0.0	0.0
T cells regulatory (Tregs)	0.228519842671565	0.0298432800491445	0.0133187348988164	0.208306895115103	0.233781849500493
T cells gamma delta	0.0	0.0	0.0	0.0	0.0
NK cells resting	0.300095306717706	0.48081185261082	0.290826685963564	0.141243574842784	0.210549665185878
NK cells activated	0.0	0.0	0.0	0.0471757197430945	0.0
Monocytes	1.91219053456954	2.52969282374166	2.44053939033794	2.19257045079999	1.58825025568682
Macrophages M0	0.101027186740921	0.0215946325500299	0.15861741663555098	0.0	0.00420756321781995
Macrophages_M1	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	0.0	0.0	0.0	0.0
Dendritic cells resting	0.0	0.0	0.0	0.0	0.0
Dendritic cells activated	0.0	0.0110935920436906	0.000374178648275936	0.0026916731127413	0.0
Mast cells resting	0.0624475889350261	0.0372780652731964	0.0858854925934923	0.20301416592133306	0.0470098947590451
Mast cells activated	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0	0.0	0.0	0.0	0.0
Neutrophils	1.16232639256052	2.32834035427902	1.47759726771633	1.6651356094733198	1.2212514411483302
P-value	0.0	0.0	0.0	0.0	0.0
Correlation	0.934189289436024	0.903161359193898	0.721817344731576	0.9611578007741941	0.9492572807594479
RMSE	0.502606090383732	0.459311201003211	0.6917423354842299	0.42383486327157	0.4849069883680821
Absolute score (sig.score)	4.991374712139151	5.97019141760147	4.8717881926255595	5.4984468573075	4.726419359752139
B_cells	0.13722197734502198	0.0789303433964964	0.11577681745980326	0.2064987615298801	0.2621789701025618
CD4_T_cells	1.0347267058956509	0.1002449338748341	0.2636031816090292	0.5643413540368111	0.9240225226871648
T_cells	1.316065725270413	0.4824497537065652	0.3021709432706033	1.040116901884359	1.392971569651678
NK_cells	0.300095306717706	0.48081185261082	0.290826685963564	0.1884192945858785	0.210549665185878
Macrophages	0.101027186740921	0.0215946325500299	0.15861741663555098	0.0	0.00420756321781995
Dendritic_cells	0.0	0.0110935920436906	0.000374178648275936	0.0026916731127413	0.0
Mast_cells	0.0624475889350261	0.0372780652731964	0.0858854925934923	0.20301416592133306	0.0470098947590451
Non_plasma_B_cells	0.10679546358032901	0.0611545864826761	0.08220368523285765	0.1847514678789504	0.2109958676403097
Lymphocytes	1.7533830093331413	1.0421919497138816	0.7087744466939706	1.4350349580001176	1.8657002049401181
Other	95.00862528786085	94.02980858239852	95.12821180737444	94.50155314269252	95.27358064024789
