	W070517001156	W070517001157	W070517001159	W070517001160	W070517001161	W070517001162	W070517102034	W070517102035	W070517102036	W070517102037	W070517102038	W070517102051
B_cells	2.59013646106621	6.465807043297301	4.90388948792938	4.69859191900366	4.9018328492082	7.782096426460041	10.1846712933343	0.20888037482688798	6.038765321857491	17.326388015095993	10.456389692476598	3.9629188294629403
Macrophages_M1	0.0	0.0	0.0	0.0	4.22665714011065	1.21686462378777	0.0	0.4703049031526872	0.0	0.0301172138735201	1.26203818994145	0.286382731828244
Macrophages_M2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.840728653450203	0.0	0.0	0.0
Monocytes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neutrophils	93.1933652836448	82.83186120728331	85.75930120583931	82.4853392277227	67.99611935830093	57.975724267198494	61.83976811444071	99.32081472202043	76.61325619889871	40.8488191307103	69.81841602560502	87.78481852008949
NK_cells	1.09020622846099	1.29654169729719	2.02930297818997	0.972266495490115	3.1677319858042003	3.7606455113567	2.61586364712787	0.0	2.5828812846151	4.1376150028547904	1.68692587750377	2.4920895532085097
T_helpers	0.28853895406576896	5.2191361045571805	3.6102475744651	7.27081120414554	0.0	19.443062924278685	18.1063708676208	0.0	6.16563805203327	25.1288553353065	10.9007250884044	1.63177920552074
CD8_T_cells	0.25908802621122	0.7026965724225749	0.41519703188951396	0.7792529722929409	8.38438493498526	3.25133849994304	2.59533053231584	0.0	3.3936118371514903	4.70312586674037	1.92746528719062	1.00558853100516
Tregs	1.5777528284491598	3.4839573751424697	3.2820617216867403	3.79373818134506	11.240739972412598	6.5702677469751904	4.657995545160429	0.0	4.36511865199377	7.491638496424481	3.948039838878141	2.83642262888492
Dendritic_cells	1.00091221810182	0.0	0.0	0.0	0.0825337591781196	0.0	0.0	0.0	0.0	0.3334409389940069	0.0	0.0
T_cells	2.1253798087261493	9.405790052122226	7.307506328041356	11.84380235778354	19.625124907397854	29.264669171196925	25.35969694509707	0.0	13.924368541178527	37.32361969847135	16.77623021447316	5.47379036541082
Macrophages	0.0	0.0	0.0	0.0	4.22665714011065	1.21686462378777	0.0	0.4703049031526872	0.840728653450203	0.0301172138735201	1.26203818994145	0.286382731828244
CD4_T_cells	1.8662917825149288	8.70309347969965	6.892309296151841	11.064549385490595	11.240739972412598	26.013330671253886	22.76436641278123	0.0	10.53075670402704	32.62049383173098	14.848764927282538	4.46820183440566
Lymphocytes	5.805722498253349	17.168138792716714	14.240698794160705	17.514660772277313	27.694689742410265	40.80741110901366	38.16023188555924	0.20888037482688798	22.54601514765112	58.787622716422135	28.91954578445353	11.92879874808227
